Sample,Phylum,Class,Order,Family,Genus,Species,Percent
9_40m,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiaceae,Prymnesium,0.041017227
9_40m,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiales_unclassified,Prymnesiales_unclassified,0.041017227
9_40m,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiophyceae_Clade_D,Prymnesiophyceae_Clade_D_X,Prymnesiophyceae_Clade_D_XX,0.041017227
9_40m,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiophyceae_unclassified,Prymnesiophyceae_unclassified,Prymnesiophyceae_unclassified,0.984413454
9_40m,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiophyceae_X,Braarudosphaeraceae,Braarudosphaera,0.041017227
9_40m,Hacrobia,Haptophyta,Rappephyceae,Pavlomulinales,Pavlomulinaceae,Pavlomulina,0.041017227
9_40m,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Calocalanus,0.082034454
9_40m,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Maxillopoda_unclassified,0.041017227
9_40m,Opisthokonta,Metazoa,Metazoa_unclassified,Metazoa_unclassified,Metazoa_unclassified,Metazoa_unclassified,0.082034454
9_40m,Opisthokonta,Metazoa,Urochordata,Urochordata_X,Appendicularia,Oikopleura,0.123051682
9_40m,Opisthokonta,Fungi,Opisthokonta_unclassified,Opisthokonta_unclassified,Opisthokonta_unclassified,Opisthokonta_unclassified,0.73831009
9_40m,Opisthokonta,Fungi,Opisthokonta_XX,Opisthokonta_XXX,Opisthokonta_XXXX,Opisthokonta_XXXXX,0.041017227
9_40m,Rhizaria,Rhizaria,Chlorarachniophyceae,Chlorarachniophyceae_X,NPK2-lineage,NPK2-lineage_X,0.082034454
9_40m,Rhizaria,Rhizaria,Acantharea,Acantharea_2,Acantharea_2b,Acantharea_2b_X,0.041017227
9_40m,Rhizaria,Rhizaria,Acantharea,Acantharea_4,Acantharea_4d,Acantharea_4d_X,0.041017227
9_40m,Rhizaria,Rhizaria,Acantharea,Acantharea_D,Acantharea_D2,Acanthocolla,0.041017227
9_40m,Rhizaria,Rhizaria,Acantharea,Acantharea_E,Acantharea_E_unclassified,Acantharea_E_unclassified,0.082034454
9_40m,Rhizaria,Rhizaria,Acantharea,Acantharea_E,Acantharea_E1,Acantharea_E1_unclassified,0.041017227
9_40m,Rhizaria,Rhizaria,Acantharea,Acantharea_E,Acantharea_E1,Lychnaspis_E1,0.205086136
9_40m,Rhizaria,Rhizaria,Acantharea,Acantharea_E,Acantharea_E1,Phractopelta,0.041017227
9_40m,Rhizaria,Rhizaria,Acantharea,Acantharea_E,Acantharea_E4,Acantharea_E4_unclassified,0.082034454
9_40m,Rhizaria,Rhizaria,Acantharea,Acantharea_F,Acantharea_F2,Amphibelone,0.492206727
9_40m,Rhizaria,Rhizaria,Acantharea,Acantharea_F,Acantharea_F3,Acantharea_F3_unclassified,0.205086136
9_40m,Rhizaria,Rhizaria,Acantharea,Acantharea_F,Acantharea_F3,Dorataspis_F3,0.082034454
9_40m,Rhizaria,Rhizaria,Acantharea,Acantharea_F,Acantharea_F3,Haliommatidium,0.041017227
9_40m,Rhizaria,Rhizaria,Acantharea,Acantharea_unclassified,Acantharea_unclassified,Acantharea_unclassified,0.164068909
9_40m,Rhizaria,Rhizaria,Polycystinea,Spumellaria,Astrosphaeridae,Astrosphaeridae_unclassified,0.164068909
9_40m,Rhizaria,Rhizaria,Polycystinea,Spumellaria,Astrosphaeridae,Cladococcus,0.041017227
9_40m,Rhizaria,Rhizaria,Polycystinea,Spumellaria,Spumellaria_unclassified,Spumellaria_unclassified,0.164068909
9_40m,Rhizaria,Rhizaria,RAD-A,RAD-A_X,RAD-A_Xf,RAD-A_Xf_a,0.041017227
9_40m,Rhizaria,Rhizaria,RAD-B,RAD-B_X,RAD-B_X_Group-IV_X,RAD-B_X_Group-IV_XX,0.041017227
9_40m,Rhizaria,Rhizaria,RAD-B,RAD-B_X,RAD-B_X_Group-IVe,RAD-B_X_Group-IVe_X,0.410172272
9_40m,Rhizaria,Rhizaria,RAD-B,RAD-B_X,RAD-B_X_unclassified,RAD-B_X_unclassified,0.533223954
9_40m,Rhizaria,Rhizaria,RAD-C,RAD-C_X,RAD-C_Xb,RAD-C_Xb_X,0.041017227
9_40m,Stramenopiles,Diatom,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,Araphid-pennate_unclassified,0.369155045
9_40m,Stramenopiles,Diatom,Bacillariophyta,Bacillariophyta_X,Bacillariophyta_X_unclassified,Bacillariophyta_X_unclassified,7.875307629
9_40m,Stramenopiles,Diatom,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Bacteriastrum,0.041017227
9_40m,Stramenopiles,Diatom,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Polar-centric-Mediophyceae_unclassified,0.615258409
9_40m,Stramenopiles,Diatom,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Thalassiosira,0.533223954
9_40m,Stramenopiles,Diatom,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Actinocyclus,0.205086136
9_40m,Stramenopiles,Diatom,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Raphid-pennate_unclassified,1.47662018
9_40m,Stramenopiles,Other stramenopiles,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_X_unclassified,Chrysophyceae_X_unclassified,0.041017227
9_40m,Stramenopiles,Other stramenopiles,Dictyochophyceae,Dictyochophyceae_X,Dictyochales,Dictyochales_unclassified,0.246103363
9_40m,Stramenopiles,Other stramenopiles,Dictyochophyceae,Dictyochophyceae_X,Dictyochales,Dictyochales_X,0.328137818
9_40m,Stramenopiles,Other stramenopiles,Dictyochophyceae,Dictyochophyceae_X,Dictyochophyceae_X_unclassified,Dictyochophyceae_X_unclassified,0.287120591
9_40m,Stramenopiles,Other stramenopiles,Dictyochophyceae,Dictyochophyceae_X,Florenciellales,Florenciellales_unclassified,0.041017227
9_40m,Stramenopiles,Other stramenopiles,Dictyochophyceae,Dictyochophyceae_X,Pedinellales,Pedinellales_unclassified,0.287120591
9_40m,Stramenopiles,Other stramenopiles,MOCH-2,MOCH-2_X,MOCH-2_XX,MOCH-2_XXX,0.123051682
9_40m,Stramenopiles,Other stramenopiles,Ochrophyta_unclassified,Ochrophyta_unclassified,Ochrophyta_unclassified,Ochrophyta_unclassified,0.697292863
9_40m,Stramenopiles,Other stramenopiles,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Pelagomonadaceae_unclassified,0.246103363
9_40m,Stramenopiles,Other stramenopiles,Pelagophyceae,Pelagomonadales,Pelagomonadales_unclassified,Pelagomonadales_unclassified,2.789171452
9_40m,Stramenopiles,Other stramenopiles,Pelagophyceae,Pelagophyceae_unclassified,Pelagophyceae_unclassified,Pelagophyceae_unclassified,1.148482363
9_40m,Stramenopiles,Other stramenopiles,MAST-3,MAST-3_unclassified,MAST-3_unclassified,MAST-3_unclassified,0.041017227
9_40m,Stramenopiles,Other stramenopiles,MAST-3,MAST-3B,MAST-3B_X,MAST-3B_XX,0.041017227
9_40m,Stramenopiles,Other stramenopiles,MAST-3,MAST-3D,MAST-3D_X,MAST-3D_XX,0.082034454
9_40m,Stramenopiles,Other stramenopiles,MAST-3,MAST-3E,MAST-3E_X,MAST-3E_XX,0.246103363
9_40m,Stramenopiles,Other stramenopiles,MAST-3,MAST-3I,MAST-3I_X,MAST-3I_XX,3.978671042
9_40m,Stramenopiles,Other stramenopiles,Opalozoa_unclassified,Opalozoa_unclassified,Opalozoa_unclassified,Opalozoa_unclassified,0.410172272
9_40m,Stramenopiles,Other stramenopiles,MAST-1,MAST-1D,MAST-1D_X,MAST-1D_XX,0.697292863
9_40m,Stramenopiles,Other stramenopiles,Pseudofungi_unclassified,Pseudofungi_unclassified,Pseudofungi_unclassified,Pseudofungi_unclassified,0.246103363
9_40m,Stramenopiles,Other stramenopiles,Labyrinthulomycetes,Labyrinthulomycetes_X,Labyrinthulomycetes_X_LAB14,Labyrinthulomycetes_X_LAB14_X,0.041017227
9_40m,Stramenopiles,Other stramenopiles,MAST-11,MAST-11_X,MAST-11_XX,MAST-11_XXX,0.246103363
9_40m,Stramenopiles,Other stramenopiles,MAST-4,MAST-4_unclassified,MAST-4_unclassified,MAST-4_unclassified,0.123051682
9_40m,Stramenopiles,Other stramenopiles,MAST-4,MAST-4A,MAST-4A_X,MAST-4A_XX,0.041017227
9_40m,Stramenopiles,Other stramenopiles,MAST-4,MAST-4C,MAST-4C_X,MAST-4C_XX,0.492206727
9_40m,Stramenopiles,Other stramenopiles,MAST-4,MAST-4D,MAST-4D_X,MAST-4D_XX,0.041017227
9_40m,Stramenopiles,Other stramenopiles,MAST-7,MAST-7_unclassified,MAST-7_unclassified,MAST-7_unclassified,0.082034454
9_40m,Stramenopiles,Other stramenopiles,MAST-7,MAST-7B,MAST-7B_X,MAST-7B_XX,0.287120591
9_40m,Stramenopiles,Other stramenopiles,MAST-7,MAST-7D,MAST-7D_X,MAST-7D_XX,0.123051682
9_40m,Stramenopiles,Other stramenopiles,MAST-8,MAST-8B,MAST-8B_X,MAST-8B_XX,0.041017227
9_40m,Stramenopiles,Other stramenopiles,MAST-9,MAST-9A,MAST-9A_X,MAST-9A_XX,0.082034454
9_40m,Stramenopiles,Other stramenopiles,MAST-9,MAST-9C,MAST-9C_X,MAST-9C_XX,0.082034454
9_40m,Stramenopiles,Other stramenopiles,Sagenista_unclassified,Sagenista_unclassified,Sagenista_unclassified,Sagenista_unclassified,0.123051682
9_40m,Stramenopiles,Other stramenopiles,Stramenopiles_unclassified,Stramenopiles_unclassified,Stramenopiles_unclassified,Stramenopiles_unclassified,4.552912223
9_70m,Alveolata,Ciliophora,Ciliophora_unclassified,Ciliophora_unclassified,Ciliophora_unclassified,Ciliophora_unclassified,0.917431193
9_70m,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Hypotrichia_unclassified,Hypotrichia_unclassified,0.0436872
9_70m,Alveolata,Ciliophora,Spirotrichea,Spirotrichea_unclassified,Spirotrichea_unclassified,Spirotrichea_unclassified,3.451288772
9_70m,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Strombidiida_unclassified,Strombidiida_unclassified,0.0436872
9_70m,Alveolata,Ciliophora,Spirotrichea,Tintinnida,Tintinnida_unclassified,Tintinnida_unclassified,0.567933595
9_70m,Alveolata,Ciliophora,Spirotrichea,Tintinnida,Tintinnidae,Tintinnidae_unclassified,0.087374399
9_70m,Alveolata,Dinophyta,Dinoflagellata_unclassified,Dinoflagellata_unclassified,Dinoflagellata_unclassified,Dinoflagellata_unclassified,0.786369594
9_70m,Alveolata,Dinophyta,Dinophyceae,Dinophyceae_unclassified,Dinophyceae_unclassified,Dinophyceae_unclassified,12.5382263
9_70m,Alveolata,Dinophyta,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,0.0436872
9_70m,Alveolata,Dinophyta,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodiniaceae_unclassified,0.742682394
9_70m,Alveolata,Dinophyta,Dinophyceae,Gymnodiniales,Gymnodiniales_unclassified,Gymnodiniales_unclassified,0.742682394
9_70m,Alveolata,Dinophyta,Dinophyceae,Peridiniales,Blastodiniaceae,Blastodinium,0.0436872
9_70m,Alveolata,Dinophyta,Dinophyceae,Peridiniales,Peridiniales_unclassified,Peridiniales_unclassified,0.0436872
9_70m,Alveolata,Dinophyta,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,0.0436872
9_70m,Alveolata,Dinophyta,Dinophyceae,Suessiales,Suessiaceae,Suessiaceae_unclassified,0.0436872
9_70m,Alveolata,Dinophyta,Syndiniales,Dino-Group-IV,Dino-Group-IV-Syndinium-Group,Syndinium,0.0436872
9_70m,Archaeplastida,Chlorophyta,Chlorophyta_unclassified,Chlorophyta_unclassified,Chlorophyta_unclassified,Chlorophyta_unclassified,0.087374399
9_70m,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,0.0436872
9_70m,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,0.0436872
9_70m,Eukaryota_unclassified,Other eukaryota,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,57.31760594
9_70m,Excavata,Excavata,Discoba_unclassified,Discoba_unclassified,Discoba_unclassified,Discoba_unclassified,0.087374399
9_70m,Excavata,Excavata,Kinetoplastea,Kinetoplastea_unclassified,Kinetoplastea_unclassified,Kinetoplastea_unclassified,0.0436872
9_70m,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,0.393184797
9_70m,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiales_unclassified,Prymnesiales_unclassified,0.0436872
