"","sample_names[1]","Phylum","Class","Order","Family","Genus","Species","SUM"
"32","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Noctilucophyceae","Noctilucales","Noctilucaceae","Noctilucaceae_unclassified",1
"33","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X",2
"34","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Alveolata","Dinoflagellata","Syndiniales","Syndiniales_unclassified","Syndiniales_unclassified","Syndiniales_unclassified",1
"35","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Archaeplastida","Archaeplastida_unclassified","Archaeplastida_unclassified","Archaeplastida_unclassified","Archaeplastida_unclassified","Archaeplastida_unclassified",3
"36","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Archaeplastida","Chlorophyta","Chlorophyta_unclassified","Chlorophyta_unclassified","Chlorophyta_unclassified","Chlorophyta_unclassified",16
"37","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Archaeplastida","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicaceae","Chloroparvula",2
"38","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Archaeplastida","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicaceae","Chloropicon",4
"39","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Archaeplastida","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus",3
"40","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Archaeplastida","Chlorophyta","Pyramimonadophyceae","Pyramimonadales","Pterospermaceae","Pterosperma",1
"41","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",1
"42","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Bacteria_X","Bacteria_X_unclassified","Bacteria_X_unclassified","Bacteria_X_unclassified","Bacteria_X_unclassified","Bacteria_X_unclassified",1
"43","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Bacteria_X","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified",10
"44","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Bacteria_X","Proteobacteria","Alphaproteobacteria","Parvibaculales","OCS116_clade","OCS116_clade_X",1
"45","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Bacteria_X","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified",3
"46","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified",1003
"47","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Excavata","Discoba","Diplonemea","Diplonemida","Diplonemida_unclassified","Diplonemida_unclassified",2
"48","WHOI010_V9_S94_L001_380m_18S_taxonomy_2500_subsampled.NEW.csv","Excavata","Discoba","Diplonemea","Diplonemida","Eupelagonemidae","Eupelagonemidae_X",1
