2336	            Prochlorococcus MIT9313
32	            Synechococcus CC9902
23	            Synechococcus MBIC10613
5	            [Synechococcus] spongiarum group
2	            Synechococcus PCC-7942
1002	      Gammaproteobacteria
18	        Burkholderiales
7	        Gammaproteobacteria Incertae Sedis
305	      Alphaproteobacteria
516	    Bacteroidota
151	    Desulfobacterota
38	    Myxococcota
31	  Archaea
