M00436_250_000000000-B2LGJ_1_2114_26190_8955	Eukaryota(100);Archaeplastida(100);Chlorophyta(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);
M00436_250_000000000-B2LGJ_1_1111_7060_16589	Eukaryota(91);Eukaryota_unclassified(91);Eukaryota_unclassified(91);Eukaryota_unclassified(91);Eukaryota_unclassified(91);Eukaryota_unclassified(91);Eukaryota_unclassified(91);Eukaryota_unclassified(91);
M00436_250_000000000-B2LGJ_1_1114_10828_7171	Eukaryota(99);Hacrobia(83);Telonemia(82);Telonemia_X(82);Telonemia_XX(82);Telonemia-Group-2(82);Telonemia-Group-2_unclassified(82);Telonemia-Group-2_unclassified(82);
M00436_250_000000000-B2LGJ_1_1101_25733_22840	Eukaryota(100);Archaeplastida(92);Chlorophyta(91);Chlorophyta_unclassified(91);Chlorophyta_unclassified(91);Chlorophyta_unclassified(91);Chlorophyta_unclassified(91);Chlorophyta_unclassified(91);
M00436_250_000000000-B2LGJ_1_1110_21953_10457	Eukaryota(96);Rhizaria(87);Radiolaria(86);Acantharea(86);Acantharea_E(86);Acantharea_E1(86);Phractopelta(86);Phractopelta_unclassified(86);
M00436_250_000000000-B2LGJ_1_1110_16263_26258	Eukaryota(100);Stramenopiles(98);Ochrophyta(98);Bacillariophyta(95);Bacillariophyta_X(95);Bacillariophyta_X_unclassified(95);Bacillariophyta_X_unclassified(95);Bacillariophyta_X_unclassified(95);
M00436_250_000000000-B2LGJ_1_1114_22242_18244	Eukaryota(100);Archaeplastida(100);Chlorophyta(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);
M00436_250_000000000-B2LGJ_1_1113_15848_8660	Eukaryota(100);Alveolata(83);Alveolata_unclassified(83);Alveolata_unclassified(83);Alveolata_unclassified(83);Alveolata_unclassified(83);Alveolata_unclassified(83);Alveolata_unclassified(83);
M00436_250_000000000-B2LGJ_1_1113_25710_12639	Eukaryota(100);Stramenopiles(100);Pseudofungi(94);MAST-1(94);MAST-1D(94);MAST-1D_X(94);MAST-1D_XX(94);MAST-1D_XX_sp.(94);
M00436_250_000000000-B2LGJ_1_1110_10406_19014	Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Araphid-pennate(90);Araphid-pennate_unclassified(90);Araphid-pennate_unclassified(90);
M00436_250_000000000-B2LGJ_1_1110_6167_10633	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);
M00436_250_000000000-B2LGJ_1_1101_25965_19535	Eukaryota(100);Stramenopiles(100);Ochrophyta(99);Bacillariophyta(99);Bacillariophyta_X(99);Raphid-pennate(80);Raphid-pennate_unclassified(80);Raphid-pennate_unclassified(80);
M00436_250_000000000-B2LGJ_1_2101_9296_4927	Eukaryota(100);Stramenopiles(93);Opalozoa(91);MAST-3(90);MAST-3I(90);MAST-3I_X(90);MAST-3I_XX(90);MAST-3I_XX_sp.(90);
M00436_250_000000000-B2LGJ_1_2113_5474_17903	Eukaryota(100);Alveolata(90);Dinoflagellata(89);Dinophyceae(86);Dinophyceae_unclassified(86);Dinophyceae_unclassified(86);Dinophyceae_unclassified(86);Dinophyceae_unclassified(86);
M00436_250_000000000-B2LGJ_1_1111_20293_13190	Eukaryota(100);Alveolata(100);Dinoflagellata(99);Dinophyceae(98);Dinophyceae_unclassified(98);Dinophyceae_unclassified(98);Dinophyceae_unclassified(98);Dinophyceae_unclassified(98);
M00436_250_000000000-B2LGJ_1_1114_8514_11497	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);
M00436_250_000000000-B2LGJ_1_2112_4098_14689	Eukaryota(100);Stramenopiles(89);Ochrophyta(85);Pelagophyceae(83);Pelagophyceae_unclassified(83);Pelagophyceae_unclassified(83);Pelagophyceae_unclassified(83);Pelagophyceae_unclassified(83);
M00436_250_000000000-B2LGJ_1_2113_3391_16006	Eukaryota(100);Alveolata(89);Dinoflagellata(89);Dinophyceae(89);Dinophyceae_unclassified(89);Dinophyceae_unclassified(89);Dinophyceae_unclassified(89);Dinophyceae_unclassified(89);
M00436_250_000000000-B2LGJ_1_1113_23138_18494	Eukaryota(100);Rhizaria(91);Radiolaria(91);Acantharea(91);Acantharea_D(85);Acantharea_D2(85);Acanthocolla(85);Acanthocolla_unclassified(85);
M00436_250_000000000-B2LGJ_1_1114_8585_16811	Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Pelagophyceae(100);Pelagomonadales(98);Pelagomonadales_unclassified(98);Pelagomonadales_unclassified(98);Pelagomonadales_unclassified(98);
M00436_250_000000000-B2LGJ_1_2101_18472_23302	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);
M00436_250_000000000-B2LGJ_1_1101_18593_9825	Eukaryota(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);
M00436_250_000000000-B2LGJ_1_1107_21456_15946	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);
M00436_250_000000000-B2LGJ_1_1101_23755_9132	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);
M00436_250_000000000-B2LGJ_1_1101_27274_15081	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);
M00436_250_000000000-B2LGJ_1_2112_16336_13875	Eukaryota(99);Alveolata(80);Alveolata_unclassified(80);Alveolata_unclassified(80);Alveolata_unclassified(80);Alveolata_unclassified(80);Alveolata_unclassified(80);Alveolata_unclassified(80);
M00436_250_000000000-B2LGJ_1_2112_24425_6109	Eukaryota(100);Opisthokonta(83);Opisthokonta_unclassified(83);Opisthokonta_unclassified(83);Opisthokonta_unclassified(83);Opisthokonta_unclassified(83);Opisthokonta_unclassified(83);Opisthokonta_unclassified(83);
M00436_250_000000000-B2LGJ_1_1110_11562_20326	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);
M00436_250_000000000-B2LGJ_1_1103_15155_20957	Eukaryota(100);Stramenopiles(91);Ochrophyta(90);Pelagophyceae(88);Pelagophyceae_unclassified(88);Pelagophyceae_unclassified(88);Pelagophyceae_unclassified(88);Pelagophyceae_unclassified(88);
M00436_250_000000000-B2LGJ_1_1112_22013_21293	Eukaryota(100);Stramenopiles(100);Ochrophyta(99);Bacillariophyta(99);Bacillariophyta_X(99);Bacillariophyta_X_unclassified(99);Bacillariophyta_X_unclassified(99);Bacillariophyta_X_unclassified(99);
M00436_250_000000000-B2LGJ_1_1112_10792_8508	Eukaryota(100);Alveolata(100);Dinoflagellata(100);Dinophyceae(100);Dinophyceae_unclassified(100);Dinophyceae_unclassified(100);Dinophyceae_unclassified(100);Dinophyceae_unclassified(100);
M00436_250_000000000-B2LGJ_1_2111_11030_7374	Eukaryota(100);Stramenopiles(90);Ochrophyta(86);Bacillariophyta(84);Bacillariophyta_X(84);Bacillariophyta_X_unclassified(84);Bacillariophyta_X_unclassified(84);Bacillariophyta_X_unclassified(84);
M00436_250_000000000-B2LGJ_1_2112_11362_24799	Eukaryota(100);Alveolata(83);Ciliophora(81);Ciliophora_unclassified(81);Ciliophora_unclassified(81);Ciliophora_unclassified(81);Ciliophora_unclassified(81);Ciliophora_unclassified(81);
M00436_250_000000000-B2LGJ_1_2113_14862_12845	Eukaryota(99);Stramenopiles(90);Ochrophyta(86);Pelagophyceae(85);Pelagophyceae_unclassified(85);Pelagophyceae_unclassified(85);Pelagophyceae_unclassified(85);Pelagophyceae_unclassified(85);
M00436_250_000000000-B2LGJ_1_1103_9594_12882	Eukaryota(100);Stramenopiles(99);Ochrophyta(99);Bacillariophyta(99);Bacillariophyta_X(99);Raphid-pennate(97);Raphid-pennate_unclassified(97);Raphid-pennate_unclassified(97);
M00436_250_000000000-B2LGJ_1_1111_25931_14366	Eukaryota(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);
M00436_250_000000000-B2LGJ_1_2113_22562_7386	Eukaryota(100);Archaeplastida(100);Chlorophyta(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);
M00436_250_000000000-B2LGJ_1_1108_20669_14704	Eukaryota(100);Archaeplastida(98);Chlorophyta(98);Chlorophyta_unclassified(98);Chlorophyta_unclassified(98);Chlorophyta_unclassified(98);Chlorophyta_unclassified(98);Chlorophyta_unclassified(98);
M00436_250_000000000-B2LGJ_1_1112_15552_12572	Eukaryota(100);Alveolata(97);Dinoflagellata(95);Dinophyceae(87);Dinophyceae_unclassified(87);Dinophyceae_unclassified(87);Dinophyceae_unclassified(87);Dinophyceae_unclassified(87);
M00436_250_000000000-B2LGJ_1_2111_18236_9913	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);
M00436_250_000000000-B2LGJ_1_1110_11471_16198	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);
M00436_250_000000000-B2LGJ_1_1113_13381_14332	Eukaryota(100);Alveolata(92);Ciliophora(92);Spirotrichea(90);Spirotrichea_unclassified(90);Spirotrichea_unclassified(90);Spirotrichea_unclassified(90);Spirotrichea_unclassified(90);
M00436_250_000000000-B2LGJ_1_1106_11867_14915	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);
M00436_250_000000000-B2LGJ_1_1113_4500_8080	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);
M00436_250_000000000-B2LGJ_1_1111_4897_14965	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);
M00436_250_000000000-B2LGJ_1_1102_15703_16327	Eukaryota(100);Stramenopiles(82);Stramenopiles_unclassified(82);Stramenopiles_unclassified(82);Stramenopiles_unclassified(82);Stramenopiles_unclassified(82);Stramenopiles_unclassified(82);Stramenopiles_unclassified(82);
M00436_250_000000000-B2LGJ_1_1101_23754_18372	Eukaryota(100);Archaeplastida(92);Chlorophyta(90);Chlorophyta_unclassified(90);Chlorophyta_unclassified(90);Chlorophyta_unclassified(90);Chlorophyta_unclassified(90);Chlorophyta_unclassified(90);
M00436_250_000000000-B2LGJ_1_2101_11711_12604	Eukaryota(100);Archaeplastida(100);Chlorophyta(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);Chlorophyta_unclassified(99);
M00436_250_000000000-B2LGJ_1_2114_4139_11979	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);
M00436_250_000000000-B2LGJ_1_1101_9899_10897	Eukaryota(100);Stramenopiles(87);Stramenopiles_unclassified(87);Stramenopiles_unclassified(87);Stramenopiles_unclassified(87);Stramenopiles_unclassified(87);Stramenopiles_unclassified(87);Stramenopiles_unclassified(87);
M00436_250_000000000-B2LGJ_1_1102_19390_23520	Eukaryota(100);Rhizaria(99);Radiolaria(98);RAD-B(96);RAD-B_X(96);RAD-B_X_unclassified(96);RAD-B_X_unclassified(96);RAD-B_X_unclassified(96);
M00436_250_000000000-B2LGJ_1_2114_20486_15750	Eukaryota(100);Stramenopiles(91);Ochrophyta(91);Bacillariophyta(90);Bacillariophyta_X(90);Bacillariophyta_X_unclassified(90);Bacillariophyta_X_unclassified(90);Bacillariophyta_X_unclassified(90);
M00436_250_000000000-B2LGJ_1_2112_14974_18158	Eukaryota(100);Alveolata(85);Alveolata_unclassified(85);Alveolata_unclassified(85);Alveolata_unclassified(85);Alveolata_unclassified(85);Alveolata_unclassified(85);Alveolata_unclassified(85);
M00436_250_000000000-B2LGJ_1_1102_6419_13469	Eukaryota(100);Stramenopiles(93);Pseudofungi(83);Pseudofungi_unclassified(83);Pseudofungi_unclassified(83);Pseudofungi_unclassified(83);Pseudofungi_unclassified(83);Pseudofungi_unclassified(83);
M00436_250_000000000-B2LGJ_1_1111_9482_19477	Eukaryota(100);Rhizaria(100);Radiolaria(100);RAD-B(100);RAD-B_X(100);RAD-B_X_Group-IVe(100);RAD-B_X_Group-IVe_X(100);RAD-B_X_Group-IVe_X_sp.(100);
M00436_250_000000000-B2LGJ_1_1112_3890_20092	Eukaryota(100);Stramenopiles(99);Sagenista(99);MAST-4(98);MAST-4C(98);MAST-4C_X(98);MAST-4C_XX(98);MAST-4C_XX_sp.(98);
M00436_250_000000000-B2LGJ_1_1102_19215_11831	Eukaryota(100);Stramenopiles(96);Ochrophyta(89);Pelagophyceae(86);Pelagophyceae_unclassified(86);Pelagophyceae_unclassified(86);Pelagophyceae_unclassified(86);Pelagophyceae_unclassified(86);
M00436_250_000000000-B2LGJ_1_1106_27196_11257	Eukaryota(100);Stramenopiles(100);Sagenista(98);MAST-4(95);MAST-4C(85);MAST-4C_X(85);MAST-4C_XX(85);MAST-4C_XX_sp.(85);
M00436_250_000000000-B2LGJ_1_2112_20791_19070	Eukaryota(100);Stramenopiles(98);Ochrophyta(98);Bacillariophyta(98);Bacillariophyta_X(98);Bacillariophyta_X_unclassified(98);Bacillariophyta_X_unclassified(98);Bacillariophyta_X_unclassified(98);
M00436_250_000000000-B2LGJ_1_1101_18334_18096	Eukaryota(100);Stramenopiles(95);Ochrophyta(90);Pelagophyceae(86);Pelagophyceae_unclassified(86);Pelagophyceae_unclassified(86);Pelagophyceae_unclassified(86);Pelagophyceae_unclassified(86);
M00436_250_000000000-B2LGJ_1_2113_10356_15711	Eukaryota(100);Archaeplastida(95);Chlorophyta(94);Chloropicophyceae(93);Chloropicales(93);Chloropicaceae(93);Chloropicon(93);Chloropicon_roscoffensis(90);
M00436_250_000000000-B2LGJ_1_2114_26323_11428	Eukaryota(100);Alveolata(100);Dinoflagellata(100);Dinophyceae(100);Gymnodiniales(95);Gymnodiniaceae(94);Gyrodinium(93);Gyrodinium_gutrula(93);
M00436_250_000000000-B2LGJ_1_1107_18370_5414	Eukaryota(88);Eukaryota_unclassified(88);Eukaryota_unclassified(88);Eukaryota_unclassified(88);Eukaryota_unclassified(88);Eukaryota_unclassified(88);Eukaryota_unclassified(88);Eukaryota_unclassified(88);
M00436_250_000000000-B2LGJ_1_1113_20707_22059	Eukaryota(100);Stramenopiles(87);Ochrophyta(84);Bacillariophyta(84);Bacillariophyta_X(84);Bacillariophyta_X_unclassified(84);Bacillariophyta_X_unclassified(84);Bacillariophyta_X_unclassified(84);
M00436_250_000000000-B2LGJ_1_1110_4156_18443	Eukaryota(100);Rhizaria(100);Radiolaria(100);RAD-B(100);RAD-B_X(100);RAD-B_X_Group-IVe(100);RAD-B_X_Group-IVe_X(100);RAD-B_X_Group-IVe_X_sp.(100);
M00436_250_000000000-B2LGJ_1_2101_9433_12496	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);
M00436_250_000000000-B2LGJ_1_1114_16681_25205	Eukaryota(100);Archaeplastida(81);Chlorophyta(80);Chlorophyta_unclassified(80);Chlorophyta_unclassified(80);Chlorophyta_unclassified(80);Chlorophyta_unclassified(80);Chlorophyta_unclassified(80);
M00436_250_000000000-B2LGJ_1_1103_10642_12891	Eukaryota(94);Eukaryota_unclassified(94);Eukaryota_unclassified(94);Eukaryota_unclassified(94);Eukaryota_unclassified(94);Eukaryota_unclassified(94);Eukaryota_unclassified(94);Eukaryota_unclassified(94);
