"","x"
"24","M00436_250_000000000-B2LGJ_1_1111_8362_12369	Eukaryota(100);Stramenopiles(93);Ochrophyta(85);Pelagophyceae(82);Pelagophyceae_unclassified(82);Pelagophyceae_unclassified(82);Pelagophyceae_unclassified(82);Pelagophyceae_unclassified(82);"
"25","M00436_250_000000000-B2LGJ_1_1113_3430_9923	Eukaryota(100);Alveolata(95);Dinoflagellata(82);Dinoflagellata_unclassified(82);Dinoflagellata_unclassified(82);Dinoflagellata_unclassified(82);Dinoflagellata_unclassified(82);Dinoflagellata_unclassified(82);"
"26","M00436_250_000000000-B2LGJ_1_2112_7699_5359	Eukaryota(100);Stramenopiles(81);Stramenopiles_unclassified(81);Stramenopiles_unclassified(81);Stramenopiles_unclassified(81);Stramenopiles_unclassified(81);Stramenopiles_unclassified(81);Stramenopiles_unclassified(81);"
"27","M00436_250_000000000-B2LGJ_1_2101_26938_17795	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"28","M00436_250_000000000-B2LGJ_1_1109_19188_15823	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"29","M00436_250_000000000-B2LGJ_1_2111_6662_18440	Eukaryota(100);Alveolata(82);Dinoflagellata(80);Dinoflagellata_unclassified(80);Dinoflagellata_unclassified(80);Dinoflagellata_unclassified(80);Dinoflagellata_unclassified(80);Dinoflagellata_unclassified(80);"
"30","M00436_250_000000000-B2LGJ_1_1101_11062_27472	Eukaryota(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);Eukaryota_unclassified(96);"
"31","M00436_250_000000000-B2LGJ_1_2113_16062_15218	Eukaryota(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);"
"32","M00436_250_000000000-B2LGJ_1_2111_11310_8658	Eukaryota(96);Stramenopiles(92);Sagenista(85);MAST-4(84);MAST-4C(83);MAST-4C_X(83);MAST-4C_XX(83);MAST-4C_XX_sp.(83);"
"33","M00436_250_000000000-B2LGJ_1_1112_9115_18502	Eukaryota(93);Eukaryota_unclassified(93);Eukaryota_unclassified(93);Eukaryota_unclassified(93);Eukaryota_unclassified(93);Eukaryota_unclassified(93);Eukaryota_unclassified(93);Eukaryota_unclassified(93);"
"34","M00436_250_000000000-B2LGJ_1_1113_2741_14204	Eukaryota(99);Stramenopiles(89);Ochrophyta(87);Ochrophyta_unclassified(87);Ochrophyta_unclassified(87);Ochrophyta_unclassified(87);Ochrophyta_unclassified(87);Ochrophyta_unclassified(87);"
"35","M00436_250_000000000-B2LGJ_1_1102_18060_15040	Eukaryota(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);"
"36","M00436_250_000000000-B2LGJ_1_1112_21876_8307	Eukaryota(100);Alveolata(89);Ciliophora(87);Spirotrichea(86);Spirotrichea_unclassified(86);Spirotrichea_unclassified(86);Spirotrichea_unclassified(86);Spirotrichea_unclassified(86);"
"37","M00436_250_000000000-B2LGJ_1_1113_19036_12984	Eukaryota(100);Hacrobia(97);Haptophyta(96);Prymnesiophyceae(96);Phaeocystales(96);Phaeocystaceae(96);Phaeocystis(96);Phaeocystis_jahnii(96);"
"38","M00436_250_000000000-B2LGJ_1_1112_13410_10489	Eukaryota(100);Alveolata(95);Dinoflagellata(90);Dinophyceae(87);Dinophyceae_unclassified(87);Dinophyceae_unclassified(87);Dinophyceae_unclassified(87);Dinophyceae_unclassified(87);"
"39","M00436_250_000000000-B2LGJ_1_1110_11139_11344	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"40","M00436_250_000000000-B2LGJ_1_2113_27550_21050	Eukaryota(100);Alveolata(96);Dinoflagellata(96);Dinophyceae(96);Dinophyceae_unclassified(96);Dinophyceae_unclassified(96);Dinophyceae_unclassified(96);Dinophyceae_unclassified(96);"
"41","M00436_250_000000000-B2LGJ_1_1113_25028_19467	Eukaryota(91);Eukaryota_unclassified(91);Eukaryota_unclassified(91);Eukaryota_unclassified(91);Eukaryota_unclassified(91);Eukaryota_unclassified(91);Eukaryota_unclassified(91);Eukaryota_unclassified(91);"
"42","M00436_250_000000000-B2LGJ_1_1112_23465_18838	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"43","M00436_250_000000000-B2LGJ_1_1101_27016_12925	Eukaryota(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);Eukaryota_unclassified(92);"
"44","M00436_250_000000000-B2LGJ_1_1111_18759_6142	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"45","M00436_250_000000000-B2LGJ_1_2113_8450_15858	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"46","M00436_250_000000000-B2LGJ_1_2113_16203_20586	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"47","M00436_250_000000000-B2LGJ_1_1109_14820_26612	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"48","M00436_250_000000000-B2LGJ_1_1112_4776_17938	Eukaryota(93);Eukaryota_unclassified(93);Eukaryota_unclassified(93);Eukaryota_unclassified(93);Eukaryota_unclassified(93);Eukaryota_unclassified(93);Eukaryota_unclassified(93);Eukaryota_unclassified(93);"
"49","M00436_250_000000000-B2LGJ_1_1113_3423_20608	Eukaryota(100);Alveolata(90);Dinoflagellata(85);Dinoflagellata_unclassified(85);Dinoflagellata_unclassified(85);Dinoflagellata_unclassified(85);Dinoflagellata_unclassified(85);Dinoflagellata_unclassified(85);"
"50","M00436_250_000000000-B2LGJ_1_1110_12296_4971	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"51","M00436_250_000000000-B2LGJ_1_1101_15090_19748	Eukaryota(100);Alveolata(80);Alveolata_unclassified(80);Alveolata_unclassified(80);Alveolata_unclassified(80);Alveolata_unclassified(80);Alveolata_unclassified(80);Alveolata_unclassified(80);"
"52","M00436_250_000000000-B2LGJ_1_1101_15309_25155	Eukaryota(99);Alveolata(85);Ciliophora(84);Ciliophora_unclassified(84);Ciliophora_unclassified(84);Ciliophora_unclassified(84);Ciliophora_unclassified(84);Ciliophora_unclassified(84);"
"53","M00436_250_000000000-B2LGJ_1_1113_11025_16407	Eukaryota(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);"
"54","M00436_250_000000000-B2LGJ_1_1113_9210_15592	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"55","M00436_250_000000000-B2LGJ_1_2114_15127_19094	Eukaryota(100);Hacrobia(97);Haptophyta(97);Prymnesiophyceae(96);Prymnesiophyceae_unclassified(96);Prymnesiophyceae_unclassified(96);Prymnesiophyceae_unclassified(96);Prymnesiophyceae_unclassified(96);"
"56","M00436_250_000000000-B2LGJ_1_2111_7251_11363	Eukaryota(98);Alveolata(84);Alveolata_unclassified(84);Alveolata_unclassified(84);Alveolata_unclassified(84);Alveolata_unclassified(84);Alveolata_unclassified(84);Alveolata_unclassified(84);"
"57","M00436_250_000000000-B2LGJ_1_1114_8739_19726	Eukaryota(100);Alveolata(97);Dinoflagellata(95);Dinophyceae(94);Dinophyceae_unclassified(94);Dinophyceae_unclassified(94);Dinophyceae_unclassified(94);Dinophyceae_unclassified(94);"
"58","M00436_250_000000000-B2LGJ_1_1111_13020_22597	Eukaryota(90);Eukaryota_unclassified(90);Eukaryota_unclassified(90);Eukaryota_unclassified(90);Eukaryota_unclassified(90);Eukaryota_unclassified(90);Eukaryota_unclassified(90);Eukaryota_unclassified(90);"
"59","M00436_250_000000000-B2LGJ_1_1111_8767_22250	Eukaryota(100);Alveolata(92);Ciliophora(89);Spirotrichea(86);Spirotrichea_unclassified(86);Spirotrichea_unclassified(86);Spirotrichea_unclassified(86);Spirotrichea_unclassified(86);"
"60","M00436_250_000000000-B2LGJ_1_1101_11419_25874	Eukaryota(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);"
"61","M00436_250_000000000-B2LGJ_1_1112_22964_23465	Eukaryota(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);"
"62","M00436_250_000000000-B2LGJ_1_1113_17761_16279	Eukaryota(100);Alveolata(82);Alveolata_unclassified(82);Alveolata_unclassified(82);Alveolata_unclassified(82);Alveolata_unclassified(82);Alveolata_unclassified(82);Alveolata_unclassified(82);"
"63","M00436_250_000000000-B2LGJ_1_1114_19692_6585	Eukaryota(96);Alveolata(82);Dinoflagellata(80);Dinophyceae(80);Dinophyceae_unclassified(80);Dinophyceae_unclassified(80);Dinophyceae_unclassified(80);Dinophyceae_unclassified(80);"
"64","M00436_250_000000000-B2LGJ_1_1114_24430_10697	Eukaryota(100);Alveolata(99);Dinoflagellata(98);Dinophyceae(98);Dinophyceae_unclassified(98);Dinophyceae_unclassified(98);Dinophyceae_unclassified(98);Dinophyceae_unclassified(98);"
"65","M00436_250_000000000-B2LGJ_1_1102_16207_9366	unknown;unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);unknown_unclassified(0);"
"66","M00436_250_000000000-B2LGJ_1_1102_11841_17855	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"67","M00436_250_000000000-B2LGJ_1_2101_12425_13466	Eukaryota(100);Alveolata(98);Ciliophora(97);Spirotrichea(97);Spirotrichea_unclassified(97);Spirotrichea_unclassified(97);Spirotrichea_unclassified(97);Spirotrichea_unclassified(97);"
"68","M00436_250_000000000-B2LGJ_1_2113_16491_15225	Eukaryota(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);"
"69","M00436_250_000000000-B2LGJ_1_1101_24609_16797	Eukaryota(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);"
"70","M00436_250_000000000-B2LGJ_1_1111_11368_15322	Eukaryota(100);Alveolata(90);Dinoflagellata(86);Dinophyceae(83);Dinophyceae_unclassified(83);Dinophyceae_unclassified(83);Dinophyceae_unclassified(83);Dinophyceae_unclassified(83);"
"71","M00436_250_000000000-B2LGJ_1_1114_24737_6595	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"72","M00436_250_000000000-B2LGJ_1_1110_13474_15435	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"73","M00436_250_000000000-B2LGJ_1_1114_11022_24735	Eukaryota(100);Stramenopiles(94);Ochrophyta(92);Bacillariophyta(91);Bacillariophyta_X(91);Bacillariophyta_X_unclassified(91);Bacillariophyta_X_unclassified(91);Bacillariophyta_X_unclassified(91);"
"74","M00436_250_000000000-B2LGJ_1_1101_6135_7988	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"75","M00436_250_000000000-B2LGJ_1_2101_10434_6456	Eukaryota(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);"
"76","M00436_250_000000000-B2LGJ_1_2112_12620_8593	Eukaryota(100);Stramenopiles(95);Ochrophyta(91);Bacillariophyta(91);Bacillariophyta_X(91);Bacillariophyta_X_unclassified(91);Bacillariophyta_X_unclassified(91);Bacillariophyta_X_unclassified(91);"
"77","M00436_250_000000000-B2LGJ_1_1114_20104_8770	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"78","M00436_250_000000000-B2LGJ_1_2114_24700_15612	Eukaryota(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);Eukaryota_unclassified(97);"
