"","x"
"35","M00436_250_000000000-B2LGJ_1_2113_5474_17903	Eukaryota(100);Alveolata(90);Dinoflagellata(89);Dinophyceae(86);Dinophyceae_unclassified(86);Dinophyceae_unclassified(86);Dinophyceae_unclassified(86);Dinophyceae_unclassified(86);"
"36","M00436_250_000000000-B2LGJ_1_1111_20293_13190	Eukaryota(100);Alveolata(100);Dinoflagellata(99);Dinophyceae(98);Dinophyceae_unclassified(98);Dinophyceae_unclassified(98);Dinophyceae_unclassified(98);Dinophyceae_unclassified(98);"
"37","M00436_250_000000000-B2LGJ_1_1114_8514_11497	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"38","M00436_250_000000000-B2LGJ_1_2112_4098_14689	Eukaryota(100);Stramenopiles(89);Ochrophyta(85);Pelagophyceae(83);Pelagophyceae_unclassified(83);Pelagophyceae_unclassified(83);Pelagophyceae_unclassified(83);Pelagophyceae_unclassified(83);"
"39","M00436_250_000000000-B2LGJ_1_2113_3391_16006	Eukaryota(100);Alveolata(89);Dinoflagellata(89);Dinophyceae(89);Dinophyceae_unclassified(89);Dinophyceae_unclassified(89);Dinophyceae_unclassified(89);Dinophyceae_unclassified(89);"
"40","M00436_250_000000000-B2LGJ_1_1113_23138_18494	Eukaryota(100);Rhizaria(91);Radiolaria(91);Acantharea(91);Acantharea_D(85);Acantharea_D2(85);Acanthocolla(85);Acanthocolla_unclassified(85);"
"41","M00436_250_000000000-B2LGJ_1_1114_8585_16811	Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Pelagophyceae(100);Pelagomonadales(98);Pelagomonadales_unclassified(98);Pelagomonadales_unclassified(98);Pelagomonadales_unclassified(98);"
"42","M00436_250_000000000-B2LGJ_1_2101_18472_23302	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"43","M00436_250_000000000-B2LGJ_1_1101_18593_9825	Eukaryota(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);Eukaryota_unclassified(98);"
"44","M00436_250_000000000-B2LGJ_1_1107_21456_15946	Eukaryota(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);Eukaryota_unclassified(99);"
"45","M00436_250_000000000-B2LGJ_1_1101_23755_9132	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"46","M00436_250_000000000-B2LGJ_1_1101_27274_15081	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"47","M00436_250_000000000-B2LGJ_1_2112_16336_13875	Eukaryota(99);Alveolata(80);Alveolata_unclassified(80);Alveolata_unclassified(80);Alveolata_unclassified(80);Alveolata_unclassified(80);Alveolata_unclassified(80);Alveolata_unclassified(80);"
"48","M00436_250_000000000-B2LGJ_1_2112_24425_6109	Eukaryota(100);Opisthokonta(83);Opisthokonta_unclassified(83);Opisthokonta_unclassified(83);Opisthokonta_unclassified(83);Opisthokonta_unclassified(83);Opisthokonta_unclassified(83);Opisthokonta_unclassified(83);"
"49","M00436_250_000000000-B2LGJ_1_1110_11562_20326	Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);"
"50","M00436_250_000000000-B2LGJ_1_1103_15155_20957	Eukaryota(100);Stramenopiles(91);Ochrophyta(90);Pelagophyceae(88);Pelagophyceae_unclassified(88);Pelagophyceae_unclassified(88);Pelagophyceae_unclassified(88);Pelagophyceae_unclassified(88);"
"51","M00436_250_000000000-B2LGJ_1_1112_22013_21293	Eukaryota(100);Stramenopiles(100);Ochrophyta(99);Bacillariophyta(99);Bacillariophyta_X(99);Bacillariophyta_X_unclassified(99);Bacillariophyta_X_unclassified(99);Bacillariophyta_X_unclassified(99);"
"52","M00436_250_000000000-B2LGJ_1_1112_10792_8508	Eukaryota(100);Alveolata(100);Dinoflagellata(100);Dinophyceae(100);Dinophyceae_unclassified(100);Dinophyceae_unclassified(100);Dinophyceae_unclassified(100);Dinophyceae_unclassified(100);"
"53","M00436_250_000000000-B2LGJ_1_2111_11030_7374	Eukaryota(100);Stramenopiles(90);Ochrophyta(86);Bacillariophyta(84);Bacillariophyta_X(84);Bacillariophyta_X_unclassified(84);Bacillariophyta_X_unclassified(84);Bacillariophyta_X_unclassified(84);"
"54","M00436_250_000000000-B2LGJ_1_2112_11362_24799	Eukaryota(100);Alveolata(83);Ciliophora(81);Ciliophora_unclassified(81);Ciliophora_unclassified(81);Ciliophora_unclassified(81);Ciliophora_unclassified(81);Ciliophora_unclassified(81);"
"55","M00436_250_000000000-B2LGJ_1_2113_14862_12845	Eukaryota(99);Stramenopiles(90);Ochrophyta(86);Pelagophyceae(85);Pelagophyceae_unclassified(85);Pelagophyceae_unclassified(85);Pelagophyceae_unclassified(85);Pelagophyceae_unclassified(85);"
"56","M00436_250_000000000-B2LGJ_1_1103_9594_12882	Eukaryota(100);Stramenopiles(99);Ochrophyta(99);Bacillariophyta(99);Bacillariophyta_X(99);Raphid-pennate(97);Raphid-pennate_unclassified(97);Raphid-pennate_unclassified(97);"
